,AcresBurned,Active,ArchiveYear,CanonicalUrl,Counties,CountyIds,Extinguished,Latitude,Location,Longitude,Name,Started,country,country_code,postcode
0,257314.0,False,2013,/incidents/2013/8/17/rim-fire/,Tuolumne,55,2013-09-06,37.857,3 miles east of Groveland along Hwy 120,-120.086,Rim Fire,2013-08-17,United States,us,
1,30274.0,False,2013,/incidents/2013/5/30/powerhouse-fire/,Los Angeles,19,2013-06-08,34.585595,Angeles National Forest,-118.423176,Powerhouse Fire,2013-05-30,United States,us,
2,27531.0,False,2013,/incidents/2013/7/15/mountain-fire/,Riverside,33,2013-07-30,33.7095,Hwy 243 & Hwy 74 near Mountain Center,-116.72885,Mountain Fire,2013-07-15,United States,us,92549
3,27440.0,False,2013,/incidents/2013/8/10/american-fire/,Placer,31,2013-08-30,39.12,"Deadwood Ridge, northeast of Foresthill",-120.65,American Fire,2013-08-10,United States,us,
4,24251.0,False,2013,/incidents/2013/5/2/springs-fire/,Ventura,56,2013-05-11,0.0,"Southbound Highway 101 at Camarillo Springs Road, Camarillo",0.0,Springs Fire,2013-05-02,,,
5,22992.0,False,2013,/incidents/2013/7/22/aspen-fire/,Fresno,10,2013-09-24,37.279,Seven miles north of Big Creek,-119.318,Aspen Fire,2013-07-22,United States,us,
6,20292.0,False,2013,/incidents/2013/8/7/silver-fire/,Riverside,33,2013-08-12,33.86157,"Poppet Flats Rd near Hwy 243, south of Banning",-116.90427,Silver Fire,2013-08-07,United States,us,
7,14754.0,False,2013,/incidents/2013/7/31/salmon-river-complex/,Siskiyou,47,2013-08-31,41.32,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",-123.176,Salmon River Complex,2013-07-31,United States,us,96027
8,12503.0,False,2013,/incidents/2013/8/10/corral-complex/,Humboldt,12,2013-08-12,41.035,Tish Tang Ridge east of Hoopa Valley Reservation,-123.488,Corral Complex,2013-08-10,United States,us,
9,11429.0,False,2013,/incidents/2013/8/23/deer-fire/,Tehama,52,2013-08-29,40.042629999999996,"Near Deer Creek, 12 miles east of Los Molinos. ",-121.85396999999999,Deer Fire,2013-08-23,United States,us,
10,8073.0,False,2013,/incidents/2013/9/9/clover-fire/,Shasta,45,2013-09-15,40.498332,"Community of Igo, 10 miles southwest of Redding",-122.535496,Clover Fire,2013-09-09,United States,us,
11,7055.0,False,2013,/incidents/2013/7/6/chariot-fire/,San Diego,37,2013-07-15,32.95435,"off Sunrise Hwy, 9 miles southeast of Julian",-116.47381000000001,Chariot Fire,2013-07-06,United States,us,91916
12,6965.0,False,2013,/incidents/2013/5/1/panther-fire/,Tehama,52,2013-05-09,40.190062,"140K3 Line, 8 miles northwest of Butte Meadows",-121.595555,Panther Fire,2013-05-01,United States,us,
13,4346.0,False,2013,/incidents/2013/5/15/grand-fire/,Kern,"15,56",2013-05-21,34.7861,"South of Frazier Mountain Park Rd, South of Frazier Park",-118.9411,Grand Fire,2013-05-15,United States,us,
14,4346.0,False,2013,/incidents/2013/5/15/grand-fire/,Ventura,"15,56",2013-05-21,34.7861,"South of Frazier Mountain Park Rd, South of Frazier Park",-118.9411,Grand Fire,2013-05-15,United States,us,
15,3505.0,False,2013,/incidents/2013/11/22/mccabe-fire/,Sonoma,49,2013-11-27,38.8167,"The Geysers area, 10 miles northeast of Geyserville",-122.8498,McCabe Fire,2013-11-22,United States,us,
16,3166.0,False,2013,/incidents/2013/5/1/summit-fire/,Riverside,33,2013-05-04,34.288877,Mias Canyon and Bluff Road in Banning,-116.94131100000001,Summit Fire,2013-05-01,United States,us,92333
17,3111.0,False,2013,/incidents/2013/9/8/morgan-fire/,Contra Costa,7,2013-09-14,37.90757,"off Morgan Territory Road, Southeast of Clayton",-121.88258200000001,Morgan Fire,2013-09-08,United States,us,94157
18,2781.0,False,2013,/incidents/2013/5/23/san-felipe-fire/,San Diego,37,2013-05-26,33.121109999999994,"San Felipe Road, north of Highway 78, East of Julian",-116.52578999999999,San Felipe Fire,2013-05-23,United States,us,
19,2462.0,False,2013,/incidents/2013/8/16/swedes-fire/,Butte,4,2013-08-22,39.446267999999996,southeast of Oroville,-121.38236,Swedes Fire,2013-08-16,United States,us,95966
20,2236.0,False,2013,/incidents/2013/10/5/deluz-fire/,San Diego,37,2013-10-09,33.341,"On Camp Pendleton, west of Fallbrook",-117.3092,DeLuz Fire,2013-10-05,United States,us,
21,2060.0,False,2013,/incidents/2013/8/24/fish-fire/,Tulare,54,2013-09-24,36.208,Golden Trout Wilderness on the Sequoia National Forest.,-118.444,Fish Fire,2013-08-24,United States,us,
22,1984.0,False,2013,/incidents/2013/5/27/white-fire/,Santa Barbara,42,2013-05-30,34.55048,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",-119.82428999999999,White Fire,2013-05-27,United States,us,
