Counties,ArchiveYear,AcresBurned,Duration,Counties
Alameda,2013,478.0,0 days,4
Alameda,2015,3340.0,5 days,5
Alameda,2016,211.0,1 days,1
Alameda,2017,537.0,662 days,5
Alameda,2018,1288.0,1333 days,8
Alameda,2019,533.0,6 days,9
Alpine,2015,0.0,3 days,1
Alpine,2016,0.0,12 days,1
Amador,2013,96.0,1 days,1
Amador,2014,4240.0,8 days,1
Amador,2015,415.0,1 days,2
Amador,2016,672.0,9 days,5
Amador,2017,10.0,134 days,1
Amador,2018,842.0,383 days,2
Amador,2019,10.0,0 days,1
Butte,2013,3459.0,14 days,7
Butte,2014,521.0,7 days,3
Butte,2015,2553.0,13 days,6
Butte,2016,1965.0,17 days,10
Butte,2017,25618.0,3392 days,18
Butte,2018,155553.0,1796 days,13
Butte,2019,1033.0,36 days,9
Calaveras,2013,77.0,3 days,2
Calaveras,2014,205.0,3 days,2
Calaveras,2015,114.0,5 days,1
Calaveras,2016,1309.0,19 days,7
Calaveras,2017,343.0,863 days,5
Calaveras,2018,506.0,497 days,3
Calaveras,2019,94.0,2 days,2
Colusa,2013,28.0,4 days,1
Colusa,2017,70.0,176 days,1
Colusa,2018,459198.0,506 days,3
Colusa,2019,20.0,0 days,1
Contra Costa,2013,3877.0,6 days,3
Contra Costa,2014,80.0,1 days,1
Contra Costa,2015,195.0,0 days,1
Contra Costa,2016,40.0,0 days,1
Contra Costa,2017,621.0,588 days,3
Contra Costa,2018,754.0,1525 days,9
Contra Costa,2019,1317.0,11 days,9
Del Norte,2015,37870.0,104 days,2
Del Norte,2016,150.0,4 days,1
Del Norte,2017,387.0,490 days,3
El Dorado,2013,889.0,3 days,4
El Dorado,2014,102101.0,37 days,5
El Dorado,2015,135.0,11 days,3
El Dorado,2016,5922.0,26 days,5
El Dorado,2017,1147.0,1169 days,9
El Dorado,2018,611.0,724 days,5
El Dorado,2019,3606.0,5 days,6
Fresno,2013,23411.0,66 days,6
Fresno,2014,171.0,1 days,3
Fresno,2015,151898.0,108 days,4
Fresno,2016,15580.0,45 days,12
Fresno,2017,22809.0,4514 days,24
Fresno,2018,259.0,990 days,5
Fresno,2019,283.0,8 days,3
Glenn,2013,443.0,9 days,2
Glenn,2017,0.0,174 days,1
Glenn,2018,412695.0,808 days,4
Glenn,2019,63.0,-1 days,1
Humboldt,2013,12503.0,2 days,2
Humboldt,2014,598.0,9 days,4
Humboldt,2015,5223.0,43 days,5
Humboldt,2016,643.0,25 days,3
Humboldt,2017,228.0,837 days,6
Humboldt,2018,3700.0,621 days,4
Humboldt,2019,30.0,14 days,1
Inyo,2013,406.0,4 days,1
Inyo,2014,178.0,7 days,2
Inyo,2015,7000.0,6 days,1
Inyo,2016,5473.0,2 days,2
Inyo,2018,6556.0,915 days,4
Inyo,2019,12271.0,152 days,2
Kern,2013,6464.0,17 days,4
Kern,2014,9690.0,31 days,4
Kern,2015,279.0,7 days,3
Kern,2016,81371.0,89 days,12
Kern,2017,13080.0,4503 days,24
Kern,2018,5108.0,1451 days,9
Kern,2019,3472.0,16 days,6
Kings,2017,51221.0,558 days,3
Kings,2018,2995.0,151 days,1
Kings,2019,161.0,57 days,1
Lake,2013,710.0,12 days,10
Lake,2014,4575.0,11 days,3
Lake,2015,95491.0,45 days,6
Lake,2016,4339.0,23 days,7
Lake,2017,2775.0,1000 days,8
Lake,2018,474693.0,1570 days,10
Lake,2019,201.0,6 days,5
Lassen,2013,97.0,3 days,1
Lassen,2015,10811.0,7 days,5
