Year,Geography,Age,Category,Demographic,Count,Rate
2015,Alameda,18 and Over,Total Population,18 and Over,6513,53.1
2015,Amador,18 and Over,Total Population,18 and Over,151,49.1
2015,Butte,18 and Over,Total Population,18 and Over,736,43.8
2015,Calaveras,18 and Over,Total Population,18 and Over,139,42.7
2015,California,18 and Over,Total Population,18 and Over,117854,40.0
2015,Colusa,18 and Over,Total Population,18 and Over,49,29.0
2015,Contra Costa,18 and Over,Total Population,18 and Over,4528,54.8
2015,Del Norte,18 and Over,Total Population,18 and Over,91,41.9
2015,El Dorado,18 and Over,Total Population,18 and Over,422,32.8
2015,Fresno,18 and Over,Total Population,18 and Over,3454,49.5
2015,Glenn,18 and Over,Total Population,18 and Over,83,39.4
2015,Humboldt,18 and Over,Total Population,18 and Over,682,64.8
2015,Imperial,18 and Over,Total Population,18 and Over,651,47.2
2015,Inyo,18 and Over,Total Population,18 and Over,55,40.1
2015,Kern,18 and Over,Total Population,18 and Over,3293,50.3
2015,Kings,18 and Over,Total Population,18 and Over,635,56.1
2015,Lake,18 and Over,Total Population,18 and Over,363,76.9
2015,Lassen,18 and Over,Total Population,18 and Over,115,40.2
2015,Los Angeles,18 and Over,Total Population,18 and Over,31687,40.8
2015,Madera,18 and Over,Total Population,18 and Over,445,37.7
2015,Marin,18 and Over,Total Population,18 and Over,374,18.3
2015,Mariposa,18 and Over,Total Population,18 and Over,69,51.8
2015,Mendocino,18 and Over,Total Population,18 and Over,349,53.4
2015,Merced,18 and Over,Total Population,18 and Over,1315,69.2
2015,Modoc,18 and Over,Total Population,18 and Over,34,56.7
2015,Mono,18 and Over,Total Population,18 and Over,27,24.8
2015,Monterey,18 and Over,Total Population,18 and Over,1224,38.3
2015,Napa,18 and Over,Total Population,18 and Over,382,34.7
2015,Nevada,18 and Over,Total Population,18 and Over,272,41.0
2015,Orange,18 and Over,Total Population,18 and Over,5996,24.9
2015,Placer,18 and Over,Total Population,18 and Over,788,27.9
2015,Plumas,18 and Over,Total Population,18 and Over,78,53.2
2015,Riverside,18 and Over,Total Population,18 and Over,6194,35.7
2015,Sacramento,18 and Over,Total Population,18 and Over,6824,61.7
2015,San Benito,18 and Over,Total Population,18 and Over,170,40.9
2015,San Bernardino,18 and Over,Total Population,18 and Over,7742,49.5
2015,San Diego,18 and Over,Total Population,18 and Over,7030,28.3
2015,San Francisco,18 and Over,Total Population,18 and Over,2291,33.0
2015,San Joaquin,18 and Over,Total Population,18 and Over,2934,56.2
2015,San Luis Obispo,18 and Over,Total Population,18 and Over,629,31.4
2015,San Mateo,18 and Over,Total Population,18 and Over,1869,31.9
2015,Santa Barbara,18 and Over,Total Population,18 and Over,1045,30.5
2015,Santa Clara,18 and Over,Total Population,18 and Over,4545,31.9
2015,Santa Cruz,18 and Over,Total Population,18 and Over,567,28.1
2015,Shasta,18 and Over,Total Population,18 and Over,715,54.4
2015,Siskiyou,18 and Over,Total Population,18 and Over,133,45.8
2015,Solano,18 and Over,Total Population,18 and Over,2274,70.7
2015,Sonoma,18 and Over,Total Population,18 and Over,1350,34.4
2015,Stanislaus,18 and Over,Total Population,18 and Over,2045,51.9
2015,Sutter,18 and Over,Total Population,18 and Over,216,29.4
2015,Tehama,18 and Over,Total Population,18 and Over,195,41.4
2015,Trinity,18 and Over,Total Population,18 and Over,60,70.2
2015,Tulare,18 and Over,Total Population,18 and Over,1278,39.4
2015,Tuolumne,18 and Over,Total Population,18 and Over,203,50.4
2015,Ventura,18 and Over,Total Population,18 and Over,1662,25.8
2015,Yolo,18 and Over,Total Population,18 and Over,561,36.0
2015,Yuba,18 and Over,Total Population,18 and Over,215,39.5
2015,Alameda,18 and Over,Race-Ethnicity,African-American,2930,195.2
2015,Butte,18 and Over,Race-Ethnicity,African-American,63,219.7
2015,California,18 and Over,Race-Ethnicity,African-American,25317,144.6
2015,Contra Costa,18 and Over,Race-Ethnicity,African-American,1474,203.9
