County,TotalPopulation,TotalWhiteNotHispanic,TotalBlack,TotalAsian,TotalHispanicLatino,MedianIncome,MedianIncomeForeignBorn,TotalBelowPovertyLine,TotalForeignBornBelowPoveryLine,TotalHSDiploma,TotalBachelorsDegree,TotalPop16Above,TotalPop16AboveInLaborForce,TotalPop16AboveNotInLaborForce,TotalPopSurveyInsurance,TotalEmployedWithInsurance,TotalEmployedWithInsurancePrivate,TotalEmployedWithInsurancePublic,TotalEmployedNoInsurance,TotalUnemployedNoInsurance,TotalNotInLaborForceNoInsurance,FullCounty
Merced,271382,75037,8645,20349,161814,24873,23473.0,56217,13949,34532,14630,199752,119232,80520,268611,86714,64991,24869,12354,1911,4818,Merced County
Mariposa,17420,13935,253,210,1963,27678,26197.0,2616,116,2942,2169,14810,7672,7138,17256,5627,4622,1160,527,69,320,Mariposa County
Modoc,8907,6920,136,99,1291,25106,17611.0,1618,165,1946,638,7365,3235,4130,8698,2272,1725,617,329,13,304,Modoc County
Contra,1142251,500592,99642,190983,292298,42181,37810.0,98595,29750,118959,206622,912021,591383,320638,1137149,483189,436767,57661,32955,3936,12467,Contra Costa County
Inyo,17977,11173,153,350,4020,31566,31792.0,1635,163,3375,2201,14750,8593,6157,17607,6924,6110,996,712,37,155,Inyo County
Stanislaus,543194,227369,16547,30007,251259,27840,24959.0,81415,17725,88216,40630,411851,251150,160701,540181,197607,158150,44940,17124,3179,6680,Stanislaus County
Santa,444829,197993,8984,24849,201837,29657,25393.0,57556,13820,42132,55474,356516,228476,128040,437669,165556,143837,25825,29072,2068,7644,Santa Barbara County
Tehama,63912,43679,530,967,15958,23061,24408.0,13930,1381,11026,4864,50521,26996,23525,63391,20220,15740,5230,2206,539,911,Tehama County
Mono,14310,9308,111,367,3865,30701,22323.0,1713,431,2247,2084,11974,8694,3280,14198,5965,5381,776,1769,38,97,Mono County
San,60376,20703,491,1804,36081,33547,29742.0,5061,980,8640,5294,46508,31555,14953,60212,24287,20336,4415,2786,320,932,San Benito County
