County,Year,Total_Population,Median_Income,White_Perc,Poverty_Perc,Uninsured_Perc,Asthma_Incidents,Asthma_Rate,Acres_Burned,Duration,Wildfire_Count,AQ_Min,AQ_Max,AQ_Mean,AQ_Median
Alameda,2011,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,6706,56.6,0.0,0,0.0,,,,
Alameda,2012,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,6965,58.4,0.0,0,0.0,,,,
Alameda,2013,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,6705,55.0,478.0,0,4.0,0.0,119.0,40.06727316255686,38.0
Alameda,2014,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,6332,51.6,0.0,0,0.0,0.0,119.0,33.97989949748744,31.0
Alameda,2015,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,6513,53.1,3340.0,5,5.0,0.0,124.0,36.42475386779184,33.0
Alameda,2016,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,5651,43.7,211.0,1,1.0,0.0,76.0,31.35477707006369,30.0
Alameda,2017,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,5763,44.4,537.0,662,5.0,0.0,159.0,39.06175771971496,35.0
Alameda,2018,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,5243,40.2,1288.0,1333,8.0,0.0,223.0,43.6113813229572,38.0
Alameda,2019,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,5130,38.9,533.0,6,9.0,0.0,87.0,29.79597566682265,27.0
Amador,2011,38429.0,31160.0,0.7815712092430196,0.08980197246870852,0.03679512867886232,162,58.1,0.0,0,0.0,,,,
Amador,2012,38429.0,31160.0,0.7815712092430196,0.08980197246870852,0.03679512867886232,214,81.9,0.0,0,0.0,,,,
Amador,2013,38429.0,31160.0,0.7815712092430196,0.08980197246870852,0.03679512867886232,203,74.0,96.0,1,1.0,,,,
Amador,2014,38429.0,31160.0,0.7815712092430196,0.08980197246870852,0.03679512867886232,181,58.7,4240.0,8,1.0,,,,
Amador,2015,38429.0,31160.0,0.7815712092430196,0.08980197246870852,0.03679512867886232,151,49.1,415.0,1,2.0,,,,
