Characteristic,FY_1989_1991,FY_1998_2000,FY_2007_2009,FY_2010_2012,FY_2013_2014,FY_2015_2016
Employment type at current farm job: Directly-hired,73%,55%,71%,67%,66%,62%
Employment type at current farm job: Labor-contracted,27%,45%,29%,33%,34%,38%
Average number of years of U.S. farm work experience,11,9,12,14,16,15
Years of U.S. farm work experience: 0-1,8%,25%,15%,5%,4%,8%
Years of U.S. farm work experience: 2-4,19%,22%,17%,15%,11%,15%
Years of U.S. farm work experience: 5-10,32%,21%,24%,29%,24%,21%
Years of U.S. farm work experience: 11-20,29%,21%,23%,25%,32%,27%
Years of U.S. farm work experience: 21 or more,12%,11%,21%,26%,29%,29%
Average number of years with current farm employer,5,3,6,6,7,7
Years with current farm employer: 0-1,31%,37%,26%,21%,18%,23%
Years with current farm employer: 2-4,36%,45%,36%,35%,31%,34%
Years with current farm employer: 5-10,22%,14%,23%,30%,28%,21%
Years with current farm employer: 11-20,10%,4%,10%,10%,16%,15%
Years with current farm employer: 21 or more,1%,<1%(a),5%,4%,7%,6%
Average hourly earnings at current farm job,$5.53,$6.54,$9.00,$9.14,$10.11,$10.83
Paid below the California minimum wage at current farm job,4%,4%,4%(a),3%,4%,3%(a)
Paid below the minimum wage at current farm job,3%(a),1%,(b),2%(a),2%(a),1%(a)
Average number of days worked on a farm last 12 months,178,155,191,211,205,213
Average number of weeks worked on a farm last 12 months,31,28,34,38,36,36
Average number of hours worked per week at current farm job,39,42,45,45,45,46
Number of hours worked per week at current farm job: 1-20,15%,4%,3%(a),3%,5%,4%
Number of hours worked per week at current farm job: 21-40,42%,47%,29%,32%,35%,31%
Number of hours worked per week at current farm job: 41-50,24%,37%,45%,38%,32%,32%
Number of hours worked per week at current farm job: 51-60,14%,10%,20%,24%,23%,29%
Number of hours worked per week at current farm job: More than 60,5%,3%,3%,2%(a),4%,5%
Average number of days worked per week at current farm job,no data,5,6,5,6,5
Median number of days worked per week at current farm job,no data,5,5,5,5,5
Number of days worked per week at current farm job: 1-5 days,no data,60%,38%,36%,39%,32%
Number of days worked per week at current farm job: 6-7 days,no data,40%,62%,64%,61%,68%
Average number of hours worked per day**,no data,8,8,8,8,8
Number of hours worked per day: 1-6,no data,11%,9%,12%,16%,16%
Number of hours worked per day: 6.1-8,no data,54%,46%,48%,41%,32%
Number of hours worked per day: 8.1-10,no data,29%,40%,35%,36%,46%
Number of hours worked per day: 10.1-14**,no data,6%,6%,5%(a),7%,6%
Average number of farm employers in the last 12 months,2.44,1.48,1.37,1.51,1.42,1.39
Number of farm employers in the last 12 months: 1,41%,67%,75%,68%,74%,76%
Number of farm employers in the last 12 months: 2,24%,23%,17%,20%,15%,16%
Number of farm employers in the last 12 months: 3,14%,7%,4%,7%,7%,5%
Number of farm employers in the last 12 months: 4,9%,2%,2%(a),3%,3%,2%
Number of farm employers in the last 12 months: 5 or more,12%,1%,1%(a),(b),1%,1%(a)
Primary crop at current farm job: Field,9%,4%,2%,2%(a),3%(a),3%
Primary crop at current farm job: Fruit or nut,55%,70%,60%,55%,63%,48%
Primary crop at current farm job: Horticulture,7%,5%,9%,6%(a),7%,10%
Primary crop at current farm job: Vegetable,27%,19%,23%,36%,26%,39%
Primary crop at current farm job: Miscellaneous/multiple,2%,1%,5%(a),<1%(a),<1%(a),1%(a)
Primary task at current farm job: Pre-harvest,10%,23%,22%,39%,22%,28%
Primary task at current farm job: Harvest,47%,30%,35%,20%,27%,17%
Primary task at current farm job: Post-harvest,9%,6%,12%,11%,14%,21%
"Primary task at current farm job: Semi-skilled (e.g., equipment operator)",29%,31%,29%,30%,37%,34%
Primary task at current farm job: Supervisor,1%,(b),<1%(a),0%,(b),(b)
Primary task at current farm job: Other,3%,10%,2%(a),0%,0%,0%
Current farm employer provides health insurance or pays for health care for a non-work-related injury or illness [D24]: No,no data,75%,72%,75%,79%,68%
Current farm employer provides health insurance or pays for health care for a non-work-related injury or illness [D24]: Yes,no data,6%,16%,15%,13%,20%
Current farm employer provides health insurance or pays for health care for a non-work-related injury or illness [D24]: Don't know,no data,19%,12%,10%,8%,11%
Current farm employer provides health insurance or pays for health care for a work-related injury or illness [D22]: No,23%,5%,8%,10%,8%,4%
Current farm employer provides health insurance or pays for health care for a work-related injury or illness [D22]: Yes,60%,82%,77%,77%,79%,84%
Current farm employer provides health insurance or pays for health care for a work-related injury or illness [D22]: Don't know,17%,13%,15%,14%,13%,12%
Workers' Compensation coverage at current farm job [D23]: No,57%,45%,18%,17%,23%,10%
Workers' Compensation coverage at current farm job [D23]: Yes,33%,30%,61%,65%,55%,66%
Workers' Compensation coverage at current farm job [D23]: Don't know,10%,25%,22%,18%,21%,24%
Unemployment Insurance coverage at current farm job: No,15%,61%,66%,64%,54%,55%
Unemployment Insurance coverage at current farm job: Yes,78%,39%,33%,35%,44%,42%
Unemployment Insurance coverage at current farm job: Don't know,7%,1%,1%,1%(a),2%(a),3%
Mode of transportation to work: Drive a car,41%,34%,44%,47%,57%,57%
Mode of transportation to work: Walk,3%,3%(a),2%,3%(a),4%,5%
"Mode of transportation to work: Public transportation (bus, train, etc.)",<1%(a),<1%(a),(b),(b),<1%(a),0%
"Mode of transportation to work: Labor bus, truck, van",10%,22%,2%,2%(a),4%(a),1%
Mode of transportation to work: 'Raitero',no data,no data,30%,33%,19%,21%
Mode of transportation to work: Ride with others (share ride),43%,35%,19%,15%,16%,15%
Mode of transportation to work: Other,2%,6%(a),(b),(b),<1%(a),1%
Pay a fee for rides to work: No,60%,27%,12%,11%,20%,13%
"Pay a fee for rides to work: Yes, a fee",40%,69%,56%,46%,42%,37%
"Pay a fee for rides to work: Yes, just for gas",no data,5%(a),32%,43%,38%,50%
"Share of farmworkers who have health insurance, taking into account all provider sources, including the respondent's employer, self-insurance, the government, the spouse's employer, etc. [A21a]: No",no data,77%,70%,63%,64%,43%
"Share of farmworkers who have health insurance, taking into account all provider sources, including the respondent's employer, self-insurance, the government, the spouse's employer, etc. [A21a]: Yes",no data,23%,30%,35%,36%,57%
"Share of farmworkers who have health insurance, taking into account all provider sources, including the respondent's employer, self-insurance, the government, the spouse's employer, etc. [A21a]: Don't know",no data,<1%(a),<1%(a),(b),(b),(b)
Share who held a non-farm job in the last 12 months,16%,6%,10%,10%,17%,15%
Average number of non-farm work weeks last 12 months,19,26,25,23,24,24
Plans to continue working in agriculture: Less than 1 year,5%,1%,1%,1%,2%(a),3%
Plans to continue working in agriculture: 1-3 years,9%,15%,13%,11%,11%,10%
Plans to continue working in agriculture: 4-5 years,5%,7%,7%,2%,3%,3%
Plans to continue working in agriculture: More than 5 years,4%,3%,7%,3%(a),1%,2%
Plans to continue working in agriculture: Over five years and as long as able to do the work,75%,64%,67%,80%,81%,78%
