Characteristic,FY_1989_1991,FY_1998_2000,FY_2007_2009,FY_2010_2012,FY_2013_2014,FY_2015_2016
Average highest grade completed in school,6th,6th,6th,7th,7th,8th
Highest grade completed: No schooling,7%,5%,7%,6%,3%,3%
Highest grade completed: 1st to 3rd,19%,17%,15%,14%,14%,13%
Highest grade completed: 4th to 7th,41%,46%,45%,37%,36%,31%
Highest grade completed: 8th to 11th,20%,25%,23%,25%,25%,26%
Highest grade completed: 12th (high school graduate),9%,6%,8%,13%,17%,20%
Highest grade completed: 13 or more (college),4%,1%,2%,5%,5%,7%
English speaking ability (self-reported): Not at all,43%,60%,58%,44%,40%,34%
English speaking ability (self-reported): A little,38%,30%,31%,37%,34%,38%
English speaking ability (self-reported): Somewhat,9%,5%,7%,10%,12%,11%
English speaking ability (self-reported): Well,11%,5%,4%,9%,14%,17%
English reading ability (self-reported): Not at all,55%,68%,70%,55%,52%,45%
English reading ability (self-reported): A little,24%,23%,21%,29%,25%,30%
English reading ability (self-reported): Somewhat,7%,4%,5%,7%,10%,8%
English reading ability (self-reported): Well,14%,5%,4%,9%,13%,17%
