Characteristic,FY_1989_1991,FY_1998_2000,FY_2007_2009,FY_2010_2012,FY_2013_2014,FY_2015_2016
Family composition: Married parent,57%,45%,49%,56%,53%,47%
"Family composition: Married, no children",10%,10%,14%,11%,15%,13%
Family composition: Unmarried parent,8%,4%,6%,8%,10%,11%
"Family composition: Single, no children",25%,41%,30%,26%,23%,29%
Median personal income range (all income sources),"$5,000-$7,499","$7,500-$9,999","$12,500-$14,999","$12,500-$14,999","$17,500-$19,999","$17,500-$19,999"
Average personal income range (all income sources),"$7,500-$9,999","$7,500-$9,999","$15,000-$17,499","$15,000-$17,499","$17,500-$19,999","$17,500-$19,999"
Median family income range (all income sources),"$7,500-$9,999","$10,000-$12,499","$17,500-$19,999","$17,500-$19,999","$20,000-$24,999","$20,000-$24,999"
Average family income range (all income sources),"$10,000-$12,499","$10,000-$12,499","$17,500-$19,999","$17,500-$19,999","$20,000-$24,999","$25,000-$29,999"
Share of families with below poverty level income,no data,54%,36%,31%,28%,30%
Share of families that received public assistance,15%,20%,33%,49%,54%,61%
Share of families that received benefits from contribution-based programs5,51%,34%,20%,23%,26%,15%
Share of families that received benefits from need-based programs6,17%,21%,34%,50%,54%,62%
